,AE1,AE2,AE3,AE4,AE5,AE6,AE7,AE8
Adenosine receptors,1.3660576,-1.3353179,-0.6908857,-0.5904721,-0.19387901,0.0858867,-1.5379949,0.44461116
Adenylate cyclases,1.4050009,-1.4491284,-1.2774224,-0.19394363,-0.23839605,0.14128132,-1.8512704,2.910073
Adenylate kinases,1.0938013,-0.76711035,-0.45549473,0.039795607,-2.0031073,-0.635911,-0.7737657,1.4929638
"Adhesion G protein-coupled receptors, subfamily A",2.2109725,-1.2473953,-1.5748916,-0.74885464,-1.3853381,1.236482,-1.632004,2.534932
"Adhesion G protein-coupled receptors, subfamily B",3.1741183,-2.9429169,-2.130884,1.466303,0.45981127,1.4087023,-0.022756696,1.6738524
"Adhesion G protein-coupled receptors, subfamily D",0.58081967,0.585075,-0.7168451,-1.8034114,-0.75670457,0.4609486,-1.6249518,1.4435781
"Adhesion G protein-coupled receptors, subfamily E",2.2795095,-2.5258014,0.2952653,-2.461611,-1.9187274,0.63441163,-4.6557994,-0.80333936
"Adhesion G protein-coupled receptors, subfamily F",0.7033055,-0.13232827,-0.45674065,-1.3539749,-1.4518527,-0.75141925,-1.7211804,1.8712175
"Adhesion G protein-coupled receptors, subfamily G",1.7830287,-1.0619556,-1.6880827,-1.501424,-1.801364,-0.032345988,-2.622297,0.205764
"Adhesion G protein-coupled receptors, subfamily L",1.9304129,-1.8500355,1.082134,-2.8010216,-2.585585,1.0669498,-3.9014714,2.5609813
"Adhesion G protein-coupled receptors, subfamily V",4.79022,-4.6737823,-3.2194462,0.6581044,-2.5885108,1.4433737,-1.1423495,2.4165874
Adiponectin receptors,0.089506514,-0.7555697,-1.0034547,-1.7890877,-0.93600065,-0.30833906,-1.031531,1.2173307
Adrenoceptors,2.3186135,-2.5510113,-1.0010654,-1.7809659,-1.2904776,1.0496935,-2.8660538,2.0808384
Ajuba family,2.4346814,-0.21096885,-0.20410964,-2.378811,-2.5112188,-0.045913145,-4.3074536,2.880134
Albuminoid family,3.023348,-4.6305165,-2.7019558,-2.6149886,-4.0940857,0.076367185,-3.073847,3.0385795
Alcohol dehydrogenases,1.3700505,-2.4556348,-0.92620355,-3.1456509,-3.6474504,0.6333479,-2.472351,1.8100896
Aldehyde dehydrogenases,1.8372059,-1.1913526,-1.746131,-1.5959753,-2.6330185,0.31000674,-2.247152,1.7817028
Aldo-keto reductases,1.7472154,-1.6725487,-1.7260966,-1.5340983,-2.5082066,0.29522198,-2.2380192,1.1627723
Aldolases,0.39944315,-1.9071357,-1.7298474,-0.60683376,-1.2305323,0.90120256,-1.2138593,0.94649696
Alkaline ceramidases,0.3981623,0.9979998,-0.64921016,-1.8180499,-0.32035097,-0.22030947,-1.0363171,0.60551655
Alkaline phosphatases,1.0440149,-1.6344252,-1.1286108,-2.1310694,-1.4153632,-0.018007934,-1.8982463,1.4720469
Alkylation repair homologs,1.8975972,-0.97784793,-0.07512174,0.44739544,-1.9197366,-0.18108182,-2.391335,1.8699343
"Alpha 1,4-glycosyltransferases",4.483149,-2.1739445,-4.888117,-0.24288066,-2.4540014,0.48702115,-5.4220614,1.8120434
Alpha arrestins,1.8686726,-1.1336552,-0.3972449,-1.24643,-1.2096685,-0.4715292,-2.6598337,0.24489138
Alpha catenins,1.6545366,-0.054255754,-1.1594244,-0.08456831,-0.61778134,0.59938574,-0.37693825,1.7202272
"Alpha-1,2-glucosyltransferases",4.292904,-0.62716675,0.80421597,-0.45606172,-3.3491137,-0.97483313,-3.3956592,0.8592371
"Alpha-1,3-glucosyltransferases",2.547989,0.25932792,0.62053597,-1.3233889,-3.1160412,-1.2892661,-1.7003648,0.36829478
Alpha-2-macroglobulin family,0.634607,-0.6560205,0.32382333,-2.6597083,-1.7586524,-0.017128274,-1.5485284,2.1702454
Alpha-L-fucosidases,3.6069868,-1.2111223,-0.8755645,-2.3343794,-5.3197007,0.83877945,-4.2396755,0.21055296
Aminoacyl tRNA synthetase complex interacting multifunctional proteins,0.6142826,-1.0714849,-0.31312022,0.38587582,-2.4170454,-0.7778164,-2.1917498,0.5617177
"Aminoacyl tRNA synthetases, Class I",1.1416717,-0.25341725,0.3625032,-0.6342312,-2.3910627,-0.20940854,-1.7538984,0.21986324
"Aminoacyl tRNA synthetases, Class II",0.71784484,0.43451253,0.33577296,0.009519219,-1.9947684,0.24330129,-1.400078,0.079613715
Aminopeptidases,1.6396179,-1.2050395,-0.12030069,-0.75175476,-2.4195156,0.00445129,-3.7005258,0.9841944
Amylases alpha,4.886147,-2.7993042,-5.2585163,-0.2974577,-1.0841815,-0.28031248,-6.0651307,3.9681728
Anaphase promoting complex,1.4008325,-0.7176144,0.67925584,0.028071493,-1.9328163,-0.28322554,-2.3364565,0.808512
Angiopoietin like family,1.6870162,-2.3171706,-0.52434045,-2.9113276,-2.4007947,0.35001862,-2.3874664,2.3334188
Angiopoietins,2.5481222,-1.2673508,0.14275977,-2.0413444,-2.0597796,0.79665244,-4.1600094,3.0809548
Angiotensin receptors,2.4508967,-2.673744,-0.15592965,-3.2037265,-2.9232378,0.75681436,-3.7829683,3.3311288
Ankyrin repeat domain containing,1.3143889,-0.79510117,-0.5744895,-0.32912076,-0.8542678,-0.286229,-1.7211363,1.2912216
Annexins,0.98130906,-0.19079962,-0.21361288,-2.628399,-2.1020484,0.39344144,-3.0457475,0.9524242
Anoctamins,1.4816151,-0.73923016,-2.0908499,-0.41143334,-0.9330966,0.39955455,-1.7564785,1.8252592
Antisense RNAs,2.2410326,-1.5981247,-1.5102103,-0.25870514,-1.4229945,-0.44730574,-2.3244097,1.9257344
Apelin receptor,1.6714526,-2.8480363,-0.021755971,-2.0840018,-0.8545622,1.3390399,-2.0835562,1.4402459
Apolipoprotein B mRNA editing enzyme catalytic subunits,1.678701,-0.8738811,-0.0021486655,-1.0390314,-1.668476,-0.7353403,-3.566535,0.36357823
Apolipoproteins,1.9708482,-3.3105643,-1.1752712,-2.9038675,-3.0403335,0.34511364,-2.3711584,1.3367137
Apoptosome,1.5714558,-1.6460242,-0.6689627,0.007961497,-2.1028168,0.6541734,-2.4681988,0.3583823
Aquaporins,2.6447992,-2.384079,-3.113562,-0.55763024,-1.7151653,0.01265049,-2.6667094,2.1598814
Arachidonate lipoxygenases,0.06934535,0.37550727,-0.4369181,-1.5011488,0.13447437,-0.4970429,-1.5384803,0.44344774
ArfGAPs,1.7055743,-0.4763699,-0.8026623,-0.8404139,-1.2275581,0.56981593,-1.6993318,-0.411537
ArfGEF family,2.9482424,-0.2783842,-2.2092605,0.7418945,-1.9164146,-0.107322246,-1.558795,-0.013362816
Arginine methyltransferases,1.498515,-0.2594786,0.6005761,0.5558142,-1.236794,-0.65878177,-1.7301464,1.2288961
Arginine vasopressin and oxytocin receptors,1.8712922,-1.8077648,-1.7060572,-0.88687575,-2.0099258,0.6682904,-3.2261472,2.838486
Argonaute RISC component family,1.4069765,-0.37929368,1.025235,-0.9260944,-0.6496086,-0.8946562,-2.3548594,0.4150561
Armadillo like helical domain containing,1.6902785,-0.3596347,0.41264227,0.03652002,-1.1413535,-0.9186139,-1.7212684,0.7162135
Armadillo repeat containing,2.3831847,-0.62195516,-0.8955055,-0.027423486,-1.3674916,0.329866,-1.7318134,1.6439831
Aromatic amino acid hydroxylase family,2.5490985,-2.4798431,-2.4942136,-0.24681868,-1.7159338,0.18868785,-1.3618035,1.547291
Arylacetamide deacetylase family,1.1238632,-1.08553,-1.855129,-1.3236128,-1.1120838,-0.14547758,-1.4331899,1.0290542
Arylamine N-acetyltransferases,1.3011751,-1.1365373,-1.5621963,-3.1113498,-3.8547719,0.29052758,-2.176243,-0.5196773
Astacins,0.6486619,-0.59232926,-1.563795,-1.7412587,-0.9935146,0.36490262,-1.8851686,0.70892316
Atlastins,1.6364038,0.76452017,-0.01642365,-0.7426047,-1.1537725,-0.24942113,-1.2092023,1.2622852
Atrophins,2.600866,0.17756635,-0.66958076,-0.046754137,-1.2235094,0.5566628,-3.6911557,3.1248963
Atypical chemokine receptors,1.5271876,-0.89429545,-0.40009108,-2.0801036,-1.356035,0.5649165,-2.5200553,0.7246901
Atypical dual specificity phosphatases,0.9870737,-1.3158159,-0.62679,-0.047090292,-1.3208637,-0.8123324,-1.7870936,1.9232526
Aurora kinase family,1.2080655,-1.2185864,-0.16919804,-0.5570112,-1.4291766,-2.3033447,-2.3953006,0.08556632
Autophagy related,1.4366897,-0.6613246,0.34319982,-0.14309125,-0.8797193,-0.37988764,-1.5317419,0.833086
Axonemal dynein assembly factors,3.2119615,-0.76420665,-1.2529074,0.9973432,-1.8859648,-1.7859427,-2.8554347,2.8448136
Axonemal radial spoke subunits,3.7607799,-0.9821402,-1.8491102,1.120157,-1.8741792,-2.2383125,-2.7477345,3.275628
B-WICH chromatin-remodelling complex subunits,1.5034802,-0.3006469,0.8317948,-1.2814407,-1.753819,-0.08592157,-3.044202,-0.065809734
B7 family,1.8515629,-1.2474413,-0.24648342,-1.728223,-1.9948812,0.5577935,-3.016659,-0.10776963
BAF complex subunits,1.1696534,-1.2713633,0.047853462,0.5072708,-0.38391107,-0.14241098,-1.2056355,0.26801008
BAG cochaperones,0.28128308,-0.5967885,0.22790614,-0.59529245,-0.8931916,-0.6324383,-1.3604589,1.9872972
BAG6 complex,1.784959,-0.5597588,0.36639854,0.78912574,-1.6290785,-2.9496257,-2.713617,1.6045933
BAR and Dbl domain containing,1.9440317,0.74066615,-3.4570785,-0.71407974,-1.2481327,0.044492975,-3.3239214,1.2671379
BAR-PH domain containing,1.4339346,0.12261522,-0.5712282,0.41896188,-0.36098677,-0.5569492,-1.6260059,0.7637023
BBSome,3.8064072,-0.8211106,-0.6082004,1.1734033,-2.39881,-0.6809988,-2.3210695,2.9819467
BCH domain containing ,1.1151589,0.13112772,-0.72325486,-0.9374391,-0.6572795,0.604417,-1.5084925,0.48160297
BCL2 family,1.1377296,-0.6247299,-0.6435353,-1.8302523,-1.9977608,0.40818053,-2.3061838,0.0679354
BCL2 homology region 3 (BH3) only,1.9381294,-0.9758071,-0.93150944,-0.069288805,-1.002344,-0.08564673,-2.170844,0.4497199
BEACH domain containing ,1.0798564,-0.20490323,1.1177136,-1.4107451,-1.6228826,1.1282531,-3.0454378,-0.7052787
BEN domain containing,2.174172,-0.8852196,-1.0327567,0.6626411,-0.7545361,-0.8305161,-1.5087509,1.4492953
BLOC-1 related complex subunits,1.0132679,-1.1378309,0.48921454,0.17562863,-1.3291588,0.5678889,-1.5547507,0.10056705
BPI fold containing,1.5511483,-1.964866,-2.2238276,-1.6142324,-1.3133551,-0.4318331,-2.5088418,1.6499501
BR serine/threonine kinases,3.8492942,-3.3061888,-3.5355499,1.7750603,0.11902552,0.89356935,-0.7195341,2.759419
BRCA1 A complex,2.9172423,-0.5550877,1.1912862,0.32429516,-1.8772254,-2.4831438,-3.0797498,1.5483447
BRCA1 B complex,1.1723213,-0.18578658,0.18865073,-0.5889646,-1.1353209,-2.563496,-2.1187484,-0.41655028
BRCA1 C complex,1.1526654,-0.5451485,0.89456415,-0.63005185,-1.8611387,-2.6203313,-1.8001676,-0.17893721
BRICHOS domain containing,2.6375098,-1.5687697,-1.7253153,-0.86835396,-1.9001125,0.86534107,-2.8940141,1.3164729
BRISC complex,0.1125531,-0.26098418,0.70065206,-0.19405104,-2.1451252,1.0406681,-1.9531872,-0.6314031
BTB domain containing,1.8626505,-1.0436444,-0.28795782,0.06292832,-1.1201165,-0.16551028,-2.024783,1.3841718
BTG/Tob family,1.9142416,-0.16717099,-0.50118893,-1.4867983,-1.8524519,0.59351957,-3.1278374,1.2149854
BUB1 mitotic checkpoint serine/threonine kinase family,1.2263979,-0.5281081,0.22068894,-0.75174606,-1.4272065,-2.7995265,-2.207945,-0.76450443
Baculoviral IAP repeat containing,2.7483196,-1.5028756,0.14254734,-1.7563381,-3.2620971,1.5654463,-1.6294336,-0.21301301
Basic helix-loop-helix proteins,1.2706882,-1.2968258,-1.4400977,-0.7629033,-0.7136292,0.2652018,-1.6179714,1.5101812
Basic leucine zipper proteins,2.0702808,-1.0811571,0.1770288,-2.0818996,-2.0122325,0.5326138,-3.2020204,0.7179899
Basigin family ,1.1973983,0.19265035,-0.76262605,-0.25222945,-1.1820595,0.3081252,-1.6698363,0.5348097
Basonuclin zinc finger proteins,1.4495015,0.43149832,0.12861925,-1.0746104,-1.0194287,-1.9892882,-2.2132547,3.0398552
Beaded filament structural proteins,2.0551393,-0.82989967,-0.052606143,-0.8638319,-0.7574423,-0.8920217,-2.405379,1.7346592
Bestrophins,0.42439282,-0.50404656,-1.2927216,-0.2027616,-0.2585777,0.05304636,-0.72453463,0.3300248
Beta 3-glycosyltransferases,1.3029197,0.1806308,-1.1630921,-1.045749,-1.2427917,0.4863642,-2.129034,0.709465
Beta 4-glycosyltransferases,1.8180106,-0.48918107,-0.61501944,-0.42886806,-0.8723849,0.34350598,-1.7746499,1.2266834
Beta catenins,0.53371036,1.5374427,-0.08546022,-2.2546923,-1.8268576,0.26864976,-2.4149761,0.93254685
"Beta-1,3-glucuronyltransferases",2.9915037,-2.2621715,-1.6179473,1.1806128,-0.075592645,1.0828981,-0.4710293,0.14860262
Beta-gamma crystallin domain containing,0.20745182,1.4365774,-0.68998724,-2.2531495,-1.0216416,-0.8966599,-1.9553361,0.74848026
Beta-gamma crystallins,0.255131,-0.059659094,-1.187445,-1.2087628,-0.540327,-0.60403484,-1.2104881,0.8022162
Biogenesis of lysosomal organelles complex 1 subunits,2.2462568,-0.8019756,1.2383924,-0.2241074,-2.6710646,0.09323527,-2.825402,-0.34954345
Biogenesis of lysosomal organelles complex 2 ,2.9322543,-0.8046529,0.06766077,-1.0100741,-2.5349348,-0.15354748,-2.8581254,-0.11141082
Biogenesis of lysosomal organelles complex 3 ,2.858626,0.7590141,0.1000052,1.2839572,-0.6473853,-2.0148222,-1.8052678,0.50067097
Bisphosphoglycerate phosphatases,0.27134454,-1.0113739,-0.15659496,-0.23369373,-0.6406533,0.058242872,-0.6072563,1.1113664
Bivalent Mical/EHBP Rab binding domain containing,0.682439,0.019831613,-0.22045675,-1.3051625,-0.64883924,0.14650984,-1.5277524,1.1507783
Blood group antigens,1.0875003,-0.6003907,-1.1583096,-1.0315746,-0.9542387,0.4064929,-2.7902246,0.9829972
Bombesin receptors,2.9803822,-2.240391,-3.4247017,-1.2277678,-1.7392722,-0.52595997,-3.1005032,2.53219
Bone morphogenetic proteins,1.2098527,-0.24369892,-1.2628049,-1.4496074,-1.673106,0.98130786,-1.9932046,0.95290196
Bradykinin receptors,0.74339235,1.2629964,-1.0662323,-2.7243416,-1.3319025,0.5233973,-2.4175982,0.64258087
Brain expressed X-linked family,5.239697,-2.7269738,-2.7160547,2.0457592,-1.6715648,0.49275213,-2.1262083,2.6330492
Branched chain amino acid transaminase family,3.4541314,-1.2219164,-1.8647116,-0.10836245,-1.1878052,-0.13318,-4.009751,3.2701724
Bridge-like lipid transfer protein family,1.7141933,-0.97262585,-0.13469097,0.8012561,-0.59252,-0.769201,-1.6018386,0.5840561
Bromodomain and WD repeat domain containing,2.462208,-0.21871157,0.6361844,-0.020908251,-1.2557497,-0.9785403,-1.1611862,-0.09973767
Bromodomain containing,2.6806,-0.2575054,0.38385734,0.1867084,-1.0451479,-1.4860642,-2.354787,0.86682963
Butyrophilins,1.796975,-1.12986,-0.9336428,-1.0441369,-1.9049639,0.9524485,-2.156215,-0.25507706
C-C motif chemokine receptors,1.8206947,-1.5752313,-0.41907063,-1.5421981,-2.1430771,0.36348194,-3.7926111,-0.89837766
C-X-3-C motif chemokine receptors,3.4382932,-3.995179,-0.81381005,1.1039937,-0.119762786,2.0235555,-1.7177331,1.2572668
C-X-C motif chemokine receptors,2.090215,-2.185137,0.42598572,-1.9831115,-1.7138948,0.3579924,-4.4648533,-0.6275874
C-type lectin domain containing,1.3786476,-1.3299437,-0.39203998,-1.656473,-0.98428506,0.107480735,-2.2453423,0.59124464
C1-set domain containing,2.2617884,-1.3027174,-0.14290729,-1.8715879,-2.7610743,0.4258796,-4.064152,-0.7778652
C1q and TNF related,0.82401574,-0.93958056,-1.4378473,-0.82479966,-0.24654499,0.28508133,-1.5728407,1.7417779
C1q domain containing,2.587226,-1.6460891,0.2576336,-1.2307843,-1.7249343,0.3244794,-2.2257352,1.3297817
C2 and RasGAP domain containing,1.188327,-0.42237043,-0.13671196,-0.16045894,-0.2931276,0.305569,-1.9484494,0.6365609
C2 and WW domain containing,3.8971798,-0.87194,-2.8152363,-0.9821074,-2.2786033,0.26935107,-2.89795,2.8311267
C2 domain containing,2.6856482,-0.8205122,-1.3536344,-0.084794,-1.1403751,-0.22855572,-2.2264755,1.4087389
C2 domain containing phospholipases,0.74135816,0.061391667,-0.7597266,-1.2033098,-0.9929537,0.5477896,-1.731987,0.67978895
C2 domain containing protein kinases,1.933604,-1.334696,0.015695117,-0.21343173,-1.0269642,0.2214566,-2.0527663,0.40382725
C2 tensin-type domain containing,4.196914,-2.404687,-2.686359,0.50654835,-1.6006379,0.89557934,-2.9286478,0.83394194
C2-set domain containing,1.9609944,-1.2977211,0.023415886,-1.2642556,-1.7606349,-0.008244917,-2.8615296,0.094566174
"C3 and PZP like, alpha-2-macroglobulin domain containing",1.4941947,-0.18237409,-0.08109275,-1.3765205,-1.1923723,0.21613874,-2.8372386,2.6137602
CAMK1 family,1.8595494,-1.6842275,-0.41623774,0.29587737,-0.4611531,0.52799493,0.19640058,0.8433892
CAMK2 family,0.1905917,-2.1947901,-1.582473,0.93995523,0.10270134,1.4136194,-0.89751464,2.0920057
CAMKV family,3.2458105,-3.904518,-3.2583463,2.0750258,0.9154311,1.2965342,0.45000565,1.8285202
CAMSAP family,1.758144,-0.34919903,-1.694561,0.23045637,-0.29990476,-0.4078573,-0.97319245,2.3989973
CAP and C-type lectin domain containing,4.207315,-2.6885803,-2.7947328,1.2507596,-3.3425028,-1.2559763,-2.888829,2.4457662
CAP superfamily,0.56135845,-0.66530883,0.012254797,-1.5288854,-0.7432848,0.715846,-1.8533278,1.2272205
CASK family,2.354654,0.8578507,-1.4482164,-1.566064,-3.1327279,1.4175322,-2.0742335,-0.93470454
CBM complex,2.2074203,-0.9107497,0.26396176,-1.3842235,-2.6689143,-0.5075319,-3.7288477,-0.96802956
CCAAT/enhancer binding proteins ,1.1801428,-2.4908485,-1.1940055,-3.1714962,-1.8533084,0.36519188,-2.4557786,1.1969225
