HGNC ID,Approved symbol,Approved name,Status,Locus type,Previous symbols,Alias symbols,Chromosome,NCBI Gene ID,Ensembl gene ID,Vega gene ID,Group ID,Group name
HGNC:8695,PCDHG@,protocadherin gamma cluster,Approved,gene with protein product,,"PCDH2, PCDH4",5q31,56115,,,20,Clustered protocadherins
HGNC:8696,PCDHGA1,"protocadherin gamma subfamily A, 1",Approved,complex locus constituent,,PCDH-GAMMA-A1,5q31,56114,ENSG00000204956,OTTHUMG00000163678,20,Clustered protocadherins
HGNC:8697,PCDHGA10,"protocadherin gamma subfamily A, 10",Approved,complex locus constituent,,PCDH-GAMMA-A10,5q31.3,56106,ENSG00000253846,OTTHUMG00000163688,20,Clustered protocadherins
HGNC:8698,PCDHGA11,"protocadherin gamma subfamily A, 11",Approved,complex locus constituent,,PCDH-GAMMA-A11,5q31.3,56105,ENSG00000253873,OTTHUMG00000164055,20,Clustered protocadherins
HGNC:8699,PCDHGA12,"protocadherin gamma subfamily A, 12",Approved,complex locus constituent,CDH21,"KIAA0588, FIB3, PCDH-GAMMA-A12",5q31.3,26025,ENSG00000253159,OTTHUMG00000129611,20,Clustered protocadherins
HGNC:8700,PCDHGA2,"protocadherin gamma subfamily A, 2",Approved,complex locus constituent,,PCDH-GAMMA-A2,5q31.3,56113,ENSG00000081853,OTTHUMG00000163679,20,Clustered protocadherins
HGNC:8701,PCDHGA3,"protocadherin gamma subfamily A, 3",Approved,complex locus constituent,,PCDH-GAMMA-A3,5q31.3,56112,ENSG00000254245,OTTHUMG00000163680,20,Clustered protocadherins
HGNC:8702,PCDHGA4,"protocadherin gamma subfamily A, 4",Approved,complex locus constituent,,PCDH-GAMMA-A4,5q31,56111,ENSG00000262576,OTTHUMG00000177593,20,Clustered protocadherins
HGNC:8703,PCDHGA5,"protocadherin gamma subfamily A, 5",Approved,complex locus constituent,,"CDH-GAMMA-A5, ME3, PCDH-GAMMA-A5",5q31,56110,ENSG00000253485,OTTHUMG00000163683,20,Clustered protocadherins
HGNC:8704,PCDHGA6,"protocadherin gamma subfamily A, 6",Approved,complex locus constituent,,PCDH-GAMMA-A6,5q31,56109,ENSG00000253731,OTTHUMG00000163684,20,Clustered protocadherins
HGNC:8705,PCDHGA7,"protocadherin gamma subfamily A, 7",Approved,complex locus constituent,,PCDH-GAMMA-A7,5q31,56108,ENSG00000253537,OTTHUMG00000163685,20,Clustered protocadherins
HGNC:8706,PCDHGA8,"protocadherin gamma subfamily A, 8",Approved,complex locus constituent,,"KIAA0327, PCDH-GAMMA-A8",5q31.3,9708,ENSG00000253767,OTTHUMG00000164053,20,Clustered protocadherins
HGNC:8707,PCDHGA9,"protocadherin gamma subfamily A, 9",Approved,complex locus constituent,,PCDH-GAMMA-A9,5q31,56107,ENSG00000261934,OTTHUMG00000177473,20,Clustered protocadherins
HGNC:8708,PCDHGB1,"protocadherin gamma subfamily B, 1",Approved,complex locus constituent,,PCDH-GAMMA-B1,5q31,56104,ENSG00000254221,OTTHUMG00000163681,20,Clustered protocadherins
HGNC:8709,PCDHGB2,"protocadherin gamma subfamily B, 2",Approved,complex locus constituent,,PCDH-GAMMA-B2,5q31,56103,ENSG00000253910,OTTHUMG00000163682,20,Clustered protocadherins
HGNC:8710,PCDHGB3,"protocadherin gamma subfamily B, 3",Approved,complex locus constituent,,PCDH-GAMMA-B3,5q31,56102,ENSG00000262209,OTTHUMG00000177471,20,Clustered protocadherins
HGNC:8711,PCDHGB4,"protocadherin gamma subfamily B, 4",Approved,complex locus constituent,,"FIB2, CDH20, PCDH-GAMMA-B4",5q31,8641,ENSG00000253953,OTTHUMG00000163686,20,Clustered protocadherins
HGNC:8712,PCDHGB5,"protocadherin gamma subfamily B, 5",Approved,complex locus constituent,,PCDH-GAMMA-B5,5q31,56101,ENSG00000276547,OTTHUMG00000188231,20,Clustered protocadherins
HGNC:8713,PCDHGB6,"protocadherin gamma subfamily B, 6",Approved,complex locus constituent,,PCDH-GAMMA-B6,5q31,56100,ENSG00000253305,OTTHUMG00000163687,20,Clustered protocadherins
HGNC:8714,PCDHGB7,"protocadherin gamma subfamily B, 7",Approved,complex locus constituent,,"ME6, PCDH-GAMMA-B7",5q31.3,56099,ENSG00000254122,OTTHUMG00000164054,20,Clustered protocadherins
HGNC:8715,PCDHGB8P,"protocadherin gamma subfamily B, 8 pseudogene",Approved,pseudogene,,PCDH-PSI3,5q31.3,56120,ENSG00000248449,OTTHUMG00000154974,20,Clustered protocadherins
HGNC:15688,PCDHGB9P,"protocadherin gamma subfamily B, 9 pseudogene",Approved,pseudogene,,PSI6,5q31.3,84055,ENSG00000276545,OTTHUMG00000188233,20,Clustered protocadherins
HGNC:8716,PCDHGC3,"protocadherin gamma subfamily C, 3",Approved,complex locus constituent,PCDH2,"PC-43, PC43, PCDH-GAMMA-C3",5q31.3,5098,ENSG00000240184,OTTHUMG00000129613,20,Clustered protocadherins
HGNC:8717,PCDHGC4,"protocadherin gamma subfamily C, 4",Approved,complex locus constituent,,PCDH-GAMMA-C4,5q31.3,56098,ENSG00000242419,OTTHUMG00000129625,20,Clustered protocadherins
HGNC:8718,PCDHGC5,"protocadherin gamma subfamily C, 5",Approved,complex locus constituent,,PCDH-GAMMA-C5,5q31.3,56097,ENSG00000240764,OTTHUMG00000129624,20,Clustered protocadherins
HGNC:8719,PCDHGCT,protocadherin gamma constant,Approved,complex locus constituent,,PCDHGC,5q31,56118,,,20,Clustered protocadherins
HGNC:8655,PCDH1,protocadherin 1,Approved,gene with protein product,,pc42,5q31.3,5097,ENSG00000156453,OTTHUMG00000129661,21,Non-clustered protocadherins
HGNC:13404,PCDH10,protocadherin 10,Approved,gene with protein product,,"OL-PCDH, KIAA1400",4q28.3,57575,ENSG00000138650,OTTHUMG00000161301,21,Non-clustered protocadherins
HGNC:8656,PCDH11X,protocadherin 11 X-linked,Approved,gene with protein product,PCDH11,"PCDH-X, PCDHX, PPP1R119",Xq21.31,27328,ENSG00000102290,OTTHUMG00000021965,21,Non-clustered protocadherins
HGNC:15813,PCDH11Y,protocadherin 11 Y-linked,Approved,gene with protein product,PCDH22,PCDHY,Yp11.2,83259,ENSG00000099715,OTTHUMG00000035105,21,Non-clustered protocadherins
HGNC:8657,PCDH12,protocadherin 12,Approved,gene with protein product,,,5q31.3,51294,ENSG00000113555,OTTHUMG00000129658,21,Non-clustered protocadherins
HGNC:14267,PCDH17,protocadherin 17,Approved,gene with protein product,,"PCDH68, PCH68",13q21.1,27253,ENSG00000118946,OTTHUMG00000016992,21,Non-clustered protocadherins
HGNC:14268,PCDH18,protocadherin 18,Approved,gene with protein product,,"KIAA1562, PCDH68L",4q28.3,54510,ENSG00000189184,OTTHUMG00000161348,21,Non-clustered protocadherins
HGNC:14270,PCDH19,protocadherin 19,Approved,gene with protein product,EFMR,"KIAA1313, EIEE9",Xq22.1,57526,ENSG00000165194,OTTHUMG00000022000,21,Non-clustered protocadherins
HGNC:14257,PCDH20,protocadherin 20,Approved,gene with protein product,,"PCDH13, FLJ22218",13q21.2,64881,ENSG00000280165,OTTHUMG00000017012,21,Non-clustered protocadherins
HGNC:8659,PCDH7,protocadherin 7,Approved,gene with protein product,,"BH-Pcdh, PPP1R120",4p15.1,5099,ENSG00000169851,OTTHUMG00000160364,21,Non-clustered protocadherins
HGNC:8660,PCDH8,protocadherin 8,Approved,gene with protein product,,"PAPC, ARCADLIN",13q14.3,5100,ENSG00000136099,OTTHUMG00000016979,21,Non-clustered protocadherins
HGNC:8661,PCDH9,protocadherin 9,Approved,gene with protein product,,,13q21.32,5101,ENSG00000184226,OTTHUMG00000017040,21,Non-clustered protocadherins
HGNC:14550,CDHR1,cadherin related family member 1,Approved,gene with protein product,PCDH21,"KIAA1775, CORD15, RP65",10q23.1,92211,ENSG00000148600,OTTHUMG00000018634,24,Cadherin related
HGNC:23112,FAT3,FAT atypical cadherin 3,Approved,gene with protein product,,"KIAA1989, CDHF15, CDHR10",11q14.3,120114,ENSG00000165323,OTTHUMG00000154468,24,Cadherin related
HGNC:23109,FAT4,FAT atypical cadherin 4,Approved,gene with protein product,,"CDHF14, FAT-J, CDHR11",4q28.1,79633,ENSG00000196159,OTTHUMG00000133100,24,Cadherin related
HGNC:17447,CLSTN1,calsyntenin 1,Approved,gene with protein product,,"CSTN1, KIAA0911, CDHR12",1p36.22,22883,ENSG00000171603,OTTHUMG00000001451,24,Cadherin related
HGNC:17448,CLSTN2,calsyntenin 2,Approved,gene with protein product,,"CSTN2, CS2, FLJ39113, CDHR13",3q23,64084,ENSG00000158258,OTTHUMG00000160139,24,Cadherin related
HGNC:18371,CLSTN3,calsyntenin 3,Approved,gene with protein product,,"CSTN3, KIAA0726, CDHR14",12p13.31,9746,ENSG00000139182,OTTHUMG00000168167,24,Cadherin related
HGNC:14674,PCDH15,protocadherin related 15,Approved,gene with protein product,"USH1F, DFNB23",CDHR15,10q21.1,65217,ENSG00000150275,OTTHUMG00000018259,24,Cadherin related
HGNC:9967,RET,ret proto-oncogene,Approved,gene with protein product,"HSCR1, MEN2A, MTC1, MEN2B","PTC, CDHF12, RET51, CDHR16",10q11.21,5979,ENSG00000165731,OTTHUMG00000018024,24,Cadherin related
HGNC:18231,CDHR2,cadherin related family member 2,Approved,gene with protein product,PCDH24,"PC-LKC, FLJ20124, FLJ20383, PCLKC",5q35.2,54825,ENSG00000074276,OTTHUMG00000163229,24,Cadherin related
HGNC:13733,CDH23,cadherin related 23,Approved,gene with protein product,"DFNB12, USH1D",CDHR23,10q22.1,64072,ENSG00000107736,OTTHUMG00000019347,24,Cadherin related
HGNC:26308,CDHR3,cadherin related family member 3,Approved,gene with protein product,,"FLJ44366, FLJ23834, CDH28",7q22.3,222256,ENSG00000128536,OTTHUMG00000157520,24,Cadherin related
HGNC:34527,CDHR4,cadherin related family member 4,Approved,gene with protein product,CDH29,VLLR9392,3p21.31,389118,ENSG00000187492,OTTHUMG00000158198,24,Cadherin related
HGNC:7521,CDHR5,cadherin related family member 5,Approved,gene with protein product,"MUCDHL, MUPCDH","FLJ20219, MU-PCDH",11p15.5,53841,ENSG00000099834,OTTHUMG00000132018,24,Cadherin related
HGNC:13681,DCHS1,dachsous cadherin-related 1,Approved,gene with protein product,"CDH25, PCDH16","FIB1, KIAA1773, FLJ11790, CDHR6",11p15.4,8642,ENSG00000166341,OTTHUMG00000133398,24,Cadherin related
HGNC:23111,DCHS2,dachsous cadherin-related 2,Approved,gene with protein product,"CDH27, PCDH23","CDHJ, FLJ20047, PCDHJ, CDHR7",4q31.3,54798,ENSG00000197410,OTTHUMG00000161556,24,Cadherin related
HGNC:3595,FAT1,FAT atypical cadherin 1,Approved,gene with protein product,FAT,"CDHF7, CDHR8",4q35.2,2195,ENSG00000083857,OTTHUMG00000160320,24,Cadherin related
HGNC:3596,FAT2,FAT atypical cadherin 2,Approved,gene with protein product,,"MEGF1, CDHF8, HFAT2, CDHR9",5q33.1,2196,ENSG00000086570,OTTHUMG00000130126,24,Cadherin related
HGNC:13233,ANP32A,acidic nuclear phosphoprotein 32 family member A,Approved,gene with protein product,C15orf1,"LANP, PP32, I1PP2A, PHAPI, MAPM, mapmodulin",15q23,8125,ENSG00000140350,OTTHUMG00000154502,27,ANP32 acidic nuclear phosphoproteins
HGNC:16677,ANP32B,acidic nuclear phosphoprotein 32 family member B,Approved,gene with protein product,,"SSP29, PHAPI2, APRIL",9q22.33,10541,ENSG00000136938,OTTHUMG00000020338,27,ANP32 acidic nuclear phosphoproteins
HGNC:16675,ANP32CP,"acidic nuclear phosphoprotein 32 family member C, pseudogene",Approved,pseudogene,ANP32C,PP32R1,4q32.3,23520,ENSG00000248546,OTTHUMG00000161205,27,ANP32 acidic nuclear phosphoproteins
HGNC:16676,ANP32D,acidic nuclear phosphoprotein 32 family member D,Approved,gene with protein product,,PP32R2,12q13.11,23519,ENSG00000139223,OTTHUMG00000162681,27,ANP32 acidic nuclear phosphoproteins
HGNC:16673,ANP32E,acidic nuclear phosphoprotein 32 family member E,Approved,gene with protein product,,"LANPL, MGC5350, LANP-L",1q21.2,81611,ENSG00000143401,OTTHUMG00000012547,27,ANP32 acidic nuclear phosphoproteins
HGNC:169,ACTR2,actin related protein 2,Approved,gene with protein product,,ARP2,2p14,10097,ENSG00000138071,OTTHUMG00000129540,39,Actin related protein 2/3 complex subunits
HGNC:170,ACTR3,actin related protein 3,Approved,gene with protein product,,ARP3,2q14.1,10096,ENSG00000115091,OTTHUMG00000153497,39,Actin related protein 2/3 complex subunits
HGNC:703,ARPC1A,actin related protein 2/3 complex subunit 1A,Approved,gene with protein product,,"SOP2Hs, SOP2L, Arc40",7q22.1,10552,ENSG00000241685,OTTHUMG00000154553,39,Actin related protein 2/3 complex subunits
HGNC:704,ARPC1B,actin related protein 2/3 complex subunit 1B,Approved,gene with protein product,,"ARC41, p40-ARC, p41-ARC",7q22.1,10095,ENSG00000130429,OTTHUMG00000154552,39,Actin related protein 2/3 complex subunits
HGNC:705,ARPC2,actin related protein 2/3 complex subunit 2,Approved,gene with protein product,,"p34-Arc, ARC34",2q35,10109,ENSG00000163466,OTTHUMG00000133618,39,Actin related protein 2/3 complex subunits
HGNC:706,ARPC3,actin related protein 2/3 complex subunit 3,Approved,gene with protein product,,"p21-Arc, ARC21",12q24.11,10094,ENSG00000111229,OTTHUMG00000134333,39,Actin related protein 2/3 complex subunits
HGNC:707,ARPC4,actin related protein 2/3 complex subunit 4,Approved,gene with protein product,,"p20-Arc, ARC20",3p25.3,10093,ENSG00000241553,OTTHUMG00000133768,39,Actin related protein 2/3 complex subunits
HGNC:708,ARPC5,actin related protein 2/3 complex subunit 5,Approved,gene with protein product,,"p16-Arc, ARC16, dJ127C7.3",1q25.3,10092,ENSG00000162704,OTTHUMG00000035326,39,Actin related protein 2/3 complex subunits
HGNC:23366,ARPC5L,actin related protein 2/3 complex subunit 5 like,Approved,gene with protein product,,"MGC3038, ARC16-2",9q33.3,81873,ENSG00000136950,OTTHUMG00000020660,39,Actin related protein 2/3 complex subunits
